PROVINCIA	TOTAL	POPULATION
ABANCAY	2508	21354
ACOBAMBA	1033	4966
ACOMAYO	54	326
ALTO AMAZONAS	4468	18867
AMBO	696	4024
ANDAHUAYLAS	2453	19716
ANGARAES	1092	5061
ANTA	275	2206
ANTABAMBA	24	266
ANTONIO RAIMONDI	60	340
AREQUIPA	10652	148513
ASCOPE	1043	7694
ASUNCION	49	506
ATALAYA	1245	4785
AYABACA	843	4975
AYMARAES	83	680
AZANGARO	976	6479
BAGUA	1767	9000
BARRANCA	1718	11951
BELLAVISTA	686	3064
BOLIVAR	67	433
BOLOGNESI	69	422
BONGARA	231	1399
CAJABAMBA	1302	7223
CAJAMARCA	7730	52918
CALCA	623	4090
CALLAO	15028	137664
CAMANA	933	8204
CANAS	189	1231
CANCHIS	2083	14598
CANDARAVE	1	5
CANGALLO	733	3579
CARABAYA	572	3572
CARAVELI	104	1172
CARHUAZ	485	3197
CARLOS FERMIN FITZCARRALD	90	620
CASMA	250	1688
CASTILLA	424	3043
CASTROVIRREYNA	71	387
CAYLLOMA	1145	9467
CAÑETE	3876	27613
CELENDIN	718	3927
CHACHAPOYAS	2052	12890
CHANCHAMAYO	3545	19407
CHEPEN	1442	8671
CHICLAYO	9601	79497
CHINCHA	4240	29624
CHINCHEROS	536	3341
CHOTA	1902	12607
CHUCUITO	735	4638
CHUMBIVILCAS	707	4119
CHUPACA	386	2614
CHURCAMPA	535	2616
CONCEPCION	272	2003
CONDESUYOS	60	463
CONDORCANQUI	594	2350
CONTRALMIRANTE VILLAR	138	917
CONTUMAZA	137	792
CORONEL PORTILLO	12612	67751
CORONGO	6	56
COTABAMBAS	854	5103
CUSCO	9497	100952
CUTERVO	1526	8158
DANIEL ALCIDES CARRION	128	1118
DATEM DEL MARAÑON	823	2957
DOS DE MAYO	568	3024
EL COLLAO	769	4843
EL DORADO	627	2803
ESPINAR	1117	6848
FERREÑAFE	902	5795
GENERAL SANCHEZ CERRO	17	165
GRAN CHIMU	183	886
GRAU	93	730
HUACAYBAMBA	232	1068
HUALGAYOC	764	4427
HUALLAGA	147	861
HUAMALIES	828	4482
HUAMANGA	7295	49904
HUANCA SANCOS	96	509
HUANCABAMBA	741	4582
HUANCANE	555	3656
HUANCAVELICA	3113	16890
HUANCAYO	6953	65812
HUANTA	2431	12080
HUANUCO	6813	49334
HUARAL	2296	19005
HUARAZ	2408	24333
HUARI	521	3655
HUARMEY	74	605
HUAROCHIRI	151	1458
HUAURA	4007	30869
HUAYLAS	937	5782
HUAYTARA	106	510
ICA	6028	54982
ILO	661	8282
ISLAY	212	2662
JAEN	4133	22036
JAUJA	1150	7671
JULCAN	307	1374
JUNIN	302	1888
LA CONVENCION	2890	17064
LA MAR	2716	11588
LA UNION	20	257
LAMAS	883	3994
LAMBAYEQUE	5170	31132
LAMPA	246	1703
LAURICOCHA	151	1090
LEONCIO PRADO	4403	24532
LIMA	100491	1090895
LORETO	811	3953
LUCANAS	599	3741
LUYA	152	1221
MANU	51	494
MARAÑON	117	677
MARISCAL CACERES	1194	5730
MARISCAL LUZURIAGA	58	366
MARISCAL NIETO	760	9617
MARISCAL RAMON CASTILLA	1004	4506
MAYNAS	11907	64511
MELGAR	876	5572
MOHO	75	439
MORROPON	2441	16385
MOYOBAMBA	2439	14309
NAZCA	688	5979
OTUZCO	738	3770
OXAPAMPA	2312	11033
PACASMAYO	1406	8590
PACHITEA	1470	6136
PADRE ABAD	1313	6785
PAITA	1363	11238
PALLASCA	58	473
PALPA	41	439
PARINACOCHAS	573	3426
PARURO	36	254
PASCO	1650	15984
PATAZ	705	3525
PAUCAR DEL SARA SARA	30	351
PAUCARTAMBO	179	1275
PICOTA	435	2043
PISCO	2352	18040
PIURA	9271	80839
POMABAMBA	345	2191
PUERTO INCA	551	2366
PUNO	2358	24144
PURUS	63	237
PUTUMAYO	55	225
QUISPICANCHI	667	3946
RECUAY	114	916
REQUENA	733	3528
RIOJA	2690	12980
RODRIGUEZ DE MENDOZA	191	1153
SAN ANTONIO DE PUTINA	126	926
SAN IGNACIO	1154	5337
SAN MARCOS	460	2799
SAN MARTIN	5400	35630
SAN MIGUEL	123	856
SAN PABLO	124	635
SAN ROMAN	4272	41795
SANCHEZ CARRION	2232	12349
SANDIA	508	2716
SANTA	5673	48927
SANTA CRUZ	196	1164
SANTIAGO DE CHUCO	666	3408
SATIPO	2743	13847
SECHURA	537	4464
SIHUAS	267	1558
SUCRE	70	526
SULLANA	6552	42984
TACNA	2991	37683
TAHUAMANU	134	878
TALARA	802	7106
TAMBOPATA	2946	22796
TARATA	7	62
TARMA	1136	7472
TAYACAJA	1668	7901
TOCACHE	1458	7520
TRUJILLO	14564	115453
TUMBES	4511	29059
UCAYALI	766	3600
URUBAMBA	343	2918
UTCUBAMBA	1844	9475
VICTOR FAJARDO	48	440
VILCAS HUAMAN	147	1049
VIRU	1046	6521
YAROWILCA	339	1632
YAULI	196	2070
YUNGAY	507	2770
YUNGUYO	333	2280
ZARUMILLA	320	2478
